filename,cleanup content,directory,cluster
97384484_1.txt,characterrun cp characterrun super clone cp props setdttmrmark dateandtime props getdttmrmark clone cp props setdttmrmarkdel dateandtime props getdttmrmarkdel clone cp props setdttmproprmark dateandtime props getdttmproprmark clone cp props setdttmdispfldrmark dateandtime props getdttmdispfldrmark cp props setxstdispfldrmark props getxstdispfldrmark clone cp props setshd shadingdescriptor props getshd clone,CharacterRun,2.0
97383976_1.txt,protected triplet getcharacterruntriplet characterrun characterrun original bold characterrun isbold original italic characterrun isitalic original fontname characterrun getfontname,CharacterRun,1.0
97383976_3.txt,characterrun characterrun range getcharacterrun c if characterrun getstartoffset skipuntil string text characterrun text characterrun getstartoffset characterrun getstartoffset range,CharacterRun,6.0
97383976_2.txt,characterrun characterrun string text if characterrun getstartoffset skipuntil string text characterrun text characterrun getstartoffset characterrun getstartoffset range processimage block characterrun text charat 0 0x01 string text characterrun text if characterrun isspecialcharacter if characterrun isole2 if characterrun issymbol characterrun getstartoffset if characterrun isspecialcharacter characterrun isobj characterrun isole2,CharacterRun,6.0
97383976_6.txt,characterrun separator field if separator isole2,CharacterRun,7.0
97383976_7.txt,characterrun cr fieldcontent getcharacterrun fieldcontent string values cr getdropdownlistvalues integer defindex cr getdropdownlistdefaultitemindex,CharacterRun,6.0
97383976_5.txt,characterrun characterrun element block getofficedrawingat characterrun getstartoffset s characterrun getstartoffset type,CharacterRun,1.0
97383976_4.txt,characterrun characterrun range getcharacterrun c processimage block characterrun text charat 0 0x01 string text characterrun text if characterrun isspecialcharacter if characterrun isole2 if characterrun issymbol characterrun getstartoffset if characterrun isspecialcharacter characterrun isobj characterrun isole2,CharacterRun,6.0
97383976_9.txt,private boolean processole2 hwpfdocument doc characterrun characterrun characterrun getpicoffset integer valueof characterrun getpicoffset integer valueof characterrun getpicoffset exc,CharacterRun,3.0
97383976_8.txt,characterrun characterrun final element block getnoteindexbyanchorposition characterrun int noteindex endnotes getnoteindexbyanchorposition characterrun,CharacterRun,4.0
17642935_1.txt,characterrun run p getcharacterrun z if run isbold string text run text,CharacterRun,6.0
97383976_10.txt,characterrun characterrun range getcharacterrun c string text characterrun text,CharacterRun,6.0
111543829_3.txt,characterrun run3 par3 insertafter three three three three three three three three three run3 setitalic true,CharacterRun,1.0
111543829_2.txt,characterrun run2 par2 insertafter two two two two two two two two two two two two two run2 setbold true paragraph par3 run2 insertafter new paragraphproperties 0,CharacterRun,5.0
111543829_1.txt,characterrun run1 par1 insertafter one run1 setfontsize 2 18 paragraph par2 run1 insertafter new paragraphproperties 0,CharacterRun,5.0
97383966_2.txt,final characterrun characterrun paragraph getcharacterrun 0 pfontsize characterrun getfontsize 2,CharacterRun,5.0
