filename, directory, cluster
111785559_1.txt, FormulaRecord, 1
112311786_1.txt, FormulaRecord, 1
73315299_2.txt, FormulaRecord, 1
73315299_1.txt, FormulaRecord, 1
94171992_1.txt, FormulaRecord, 1
61719045_1.txt, FormulaRecord, 1
15642330_1.txt, FormulaRecord, 1
12440188_1.txt, HSSFTextbox, 1
68613461_1.txt, HSSFTextbox, 1
15642598_1.txt, HSSFTextbox, 1
12440192_1.txt, HSSFTextbox, 2
92669291_1.txt, HSSFTextbox, 1
12440188_1.txt, WordExtractor, 1
68613461_1.txt, WordExtractor, 1
15642598_1.txt, WordExtractor, 1
12440192_1.txt, WordExtractor, 1
92669291_1.txt, WordExtractor, 1
12440044_1.txt, WordExtractor, 1
111785559_1.txt, WordExtractor, 3
112311786_1.txt, WordExtractor, 1
73315299_2.txt, WordExtractor, 1
73315299_1.txt, WordExtractor, 1
94171992_1.txt, WordExtractor, 1
61719045_1.txt, WordExtractor, 1
15642330_1.txt, WordExtractor, 1
558689_1.txt, WordExtractor, 1
133035254_1.txt, WordExtractor, 1
15642409_2.txt, WordExtractor, 1
66638946_1.txt, WordExtractor, 1
15642409_1.txt, WordExtractor, 2
3760572_1.txt, WordExtractor, 1
15642594_1.txt, WordExtractor, 1
15642593_1.txt, WordExtractor, 1
15642365_1.txt, WordExtractor, 1
12440188_1.txt, PageBreakRecord, 1
68613461_1.txt, PageBreakRecord, 2
15642598_1.txt, PageBreakRecord, 1
12440192_1.txt, PageBreakRecord, 1
12440188_1.txt, DirectoryNode, 3
68613461_1.txt, DirectoryNode, 1
15642598_1.txt, DirectoryNode, 4
12440192_1.txt, DirectoryNode, 9
92669291_1.txt, DirectoryNode, 6
12440044_1.txt, DirectoryNode, 2
111785559_1.txt, DirectoryNode, 7
112311786_1.txt, DirectoryNode, 1
73315299_2.txt, DirectoryNode, 8
73315299_1.txt, DirectoryNode, 3
94171992_1.txt, DirectoryNode, 5
12440188_1.txt, EscherOptRecord, 1
